VD,PARTICIPANTE,SEXO.GENERO,IDADE,FAIXA.ETARIA,ESCOLARIDADE,REGIAO,INDICE.SOCIO,ORIGEM.PAIS,CONT.FON.PREC,CONT.FON.SEG,TONICIDADE,POSICAO.R,CLASSE.MORFOLOGICA,FREQUENCIA,ESTILO,ITEM.LEXICAL,cont.precedente,ocorrencia,cont.seguinte
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,d,atona,medial,verbo,0.17,conversacao,perder, do sábado pra não , perder <T> , <A> a missa do 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,ts,atona,medial,verbo,0.03,conversacao,participa, participa <T> do coral , participa <T> , de/ ... falo não 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,t,atona,medial,substantivo,0.01,conversacao,cobertura, precisando de colocar... <A> , cobertura <T> , ... (es)tá precisando de 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,d,atona,medial,verbo,0.03,conversacao,guardar, lembrancinha assim pra você , guardar <R> , <A> como que... você 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,l,tonica,final,substantivo,0.03,conversacao,vereador, <T> menos ahn assim... , vereador <T> , lá... deputado e [hes.] 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,d,tonica,final,adjetivo,0.34,conversacao,pior, eles colocam esses/ um , pior <T> , do que o outro 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,ts,atona,medial,verbo,0.04,conversacao,participar, as coisa mas pra , participar <T> , <A> assim... D1: não 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,k,atona,medial,substantivo,0.2,conversacao,mercado, (vo)cê vai/ (vo)cê tem , mercado <T> , (vo)cê tem feira (vo)cê 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,k,atona,medial,substantivo,0.2,conversacao,mercado, tendo condução tendo... um , mercado <T> , pra (vo)cê comprar <A> 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,t,tonica,medial,verbo,0.09,conversacao,importa, eu acho que não , importa <R> , o lugar </> assim 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,#,tonica,final,adjetivo,0.34,conversacao,pior, (es)tá de mau a , pior <T> , D1: e a senhora 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,u,k,atona,medial,conj.prep,5.98,conversacao,porque, vou as três vezes , porque <T> , minha irmã <T> já 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,n,tonica,final,substantivo,1.94,conversacao,lugar, tem em todo/ todo , lugar <R> , né? (até aqui) de 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,n,tonica,final,substantivo,0.03,conversacao,corredor, e vamos lá no , corredor <R> , na frente D1: ai 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,ts,atona,medial,substantivo,0.03,conversacao,cortina, e deixar <A> a , cortina <T> , / a cozinha aberta 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,s,atona,medial,verbo,0.38,conversacao,conversar, eu gosto muito de , conversar <R> , <A> né? [risos] D1: 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,m,tonica,final,morf.inf,0.04,conversacao,pôr, ... eles devia de , pôr <T> , menos ahn assim... vereador 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,g,atona,medial,verbo,0.02,conversacao,largou, uhum S1: e agora , largou <R> , agora falou que foi 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,#,tonica,final,substantivo,1.94,conversacao,lugar, é... tem uns no , lugar/... <R> , assalto... roubo... matança tem 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,m,tonica,medial,conj.prep,0.07,conversacao,conforme, o pacote de arroz , conforme <R> , eles pede(m) lá o 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,n,tonica,final,adjetivo,0.34,conversacao,pior, (es)tá ficando cada dia , pior <R> , né? D1: é? S1: 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,ts,atona,medial,verbo,0.03,conversacao,participa, ai r. vamos lá , participa <T> , do coral participa <T> 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,t,tonica,medial,substantivo,0.35,conversacao,porta, marido (es)tava lá na , porta <T> , esperando lá D1: dez 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,m,atona,medial,verbo,0.12,conversacao,dormir, [risos] S1: é... vai , dormir <T> , <A> aí também? [risos] 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,u,k,atona,medial,conj.prep,5.98,conversacao,porque, era ao mesmo tempo , porque <T> , ele deixa de aprender 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,m,atona,medial,verbo,0.04,conversacao,terminou, aí e aí ele , terminou <T> , já o [hes.]/ primeiro 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,f,tonica,final,substantivo,0.18,conversacao,senhor, ... agora (es)tava um , senhor <T> , falando que parece que 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,a,d,tonica,medial,substantivo,0.16,conversacao,Bernardo, lá em São Bernardo , <T> <R> , / lá em Santo 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,0,p,tonica,final,adjetivo,0.93,conversacao,melhor, mais gente... assim com , melhor <R> , (posses) pra pegar <A> 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,g,atona,medial,adjetivo,0.01,conversacao,embargado, mas diz que foi , embargado <R> , pela prefeitura por <A> 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,v,atona,medial,adjetivo,0.05,conversacao,reservado, tem um lugar... <R> , reservado <T> , lá aí depois quando 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,g,atona,medial,adjetivo,0.01,conversacao,ergométrico, pedia muito aquele teste , ergométrico <T> , né? D1: uhum S1: 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, de... construir <A> aquela , parte <R> , que eles querem fazer 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,a,#,tonica,final,substantivo,1.94,conversacao,lugar, então já tem um , lugar... <R> , reservado <T> lá aí 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,e,s,tonica,medial,substantivo,0.07,conversacao,terço, <V> das/ que faz , terço <T> , na rua... então cada 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,d,atona,medial,substantivo,0.02,conversacao,coordenadora, tem o [hes.]/ a , coordenadora <T> , do coral tem a 
retroflexo,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,3,t,tonica,medial,adjetivo,0.13,conversacao,aberta, <T> / a cozinha , aberta <R> , lá com... chave pra 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,i,m,atona,medial,substantivo,2.09,conversacao,irmã, vezes porque <T> minha , irmã <T> , já pediu pra mim 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,o,l,tonica,final,substantivo,0.01,conversacao,coodenador, assim cada/ cada... coordenador , <T> <T> , lá de/ de/ assim 
tepe,RosineideA,feminino,65,3a,medio,periferica,1.7,estrangeira,u,k,atona,medial,conj.prep,5.98,conversacao,porque, S1: não dá não , porque... <T> , os outro fica cobrando 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,0,ts,tonica,medial,substantivo,0.59,conversacao,Norte, na [hes.] Aparecida do , Norte <T> , D1: o lazer (es)tava 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,d,atona,medial,substantivo,0.82,conversacao,verdade, tal mas era na , verdade <T> , era assim mesmo aqui 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,g,atona,medial,verbo,0.22,conversacao,perguntar, mundo fala se (vo)cê , perguntar <T> , <A> qualquer <A> pessoa 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,i,m,tonica,medial,adjetivo,0.7,conversacao,firme, que ficar <A> bem , firme <T> , porque [A] se não 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,m,atona,medial,conj.prep,3.25,conversacao,por, eu acho que você... , por <T> , mais que/ que você 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,t,atona,medial,substantivo,0.04,conversacao,artesanato, de móvel sabe assim , artesanato <T> , essas coisa de móvel 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,s,atona,medial,substantivo,0.03,conversacao,aniversários, das crianças... os passeios , aniversários <T> , (xxx) D1: {e não 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, apesar disso? S1: foi , porque <T> , (foi duro) sozinha entendeu... 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,ts,atona,medial,adjetivo,0.52,conversacao,particular, e ela tinha médico , particular <R> , <T> né... aí chamei 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, eu eu costumo assim , porque <T> , eu já conheço quase 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,ts,atona,medial,adjetivo,0.14,conversacao,pertinho, trabalhei dez anos aqui , pertinho... <R> , aí tenho/ conheço quase 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,t,tonica,medial,substantivo,0.01,conversacao,consertos, loja? S1: é [hes.] , consertos <R> , também... eu sou muito 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,k,atona,medial,substantivo,0.02,conversacao,mercadão, uma compra é um... , mercadão <T> , especial aí ela veio 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, aí eu trabalhava na , Oscar <R> , Freire né como eu 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,t,tonica,medial,substantivo,0.03,conversacao,quartos, tem quanto? S1: três , quartos <T> , D1: {três quartos ... 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,t,atona,medial,substantivo,0.01,conversacao,partezinha, que montar... <A> cada , partezinha <R> , dessa (vo)cê tem que 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,s,tonica,medial,substantivo,0.48,conversacao,curso, né mas era esses , curso <T> , mesmo você fazia chapéu 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, sozinha entendeu... foi difícil , porque... <T> , ela trabalhou nessas casas 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,s,atona,medial,substantivo,0.07,conversacao,aniversário, só quando é meu , aniversário <T> , assim ele vai depois 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,n,tonica,medial,substantivo,0.07,conversacao,perna, sair <A> bater <A> , perna <R> , [risos] D1: é pra 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,s,tonica,medial,verbo,0.3,conversacao,conversa, te olha nos olhos , conversa <R> , tal D1: uhum e 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,v,atona,medial,adjetivo,0.05,conversacao,reservado, mas ele é muito , reservado <R> , ele é... agora eu 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,t,tonica,medial,adjetivo,2.6,conversacao,perto, o S. mora aqui , {perto <T> , } D1: {mora? agora 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,0,ts,tonica,medial,substantivo,0.59,conversacao,Norte, seria rio Grande do , Norte... <T> , eu gostaria de conhecer... 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,t,tonica,medial,adjetivo,2.6,conversacao,perto, ele mora bem ali , perto <T> , (es)tá sempre cheio de 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,s,atona,medial,substantivo,0.07,conversacao,aniversário, junto com a família , aniversário/ <T> , minha mãe trabalhava como 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, muito tempo lá na , Oscar <R> , Freire... e aí depois 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,o,d,atona,medial,substantivo,0.01,conversacao,bordados, <A> todo tipo de , bordados <T> , D1: (vo)cê fez todos 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, da manhã... tudo na , Oscar <T> , Freire é numa loja 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,d,tonica,medial,verbo,0.01,conversacao,herda, ’ mas tem você , herda <R> , alguma coisa então eu/ 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,ts,atona,medial,adjetivo,0.52,conversacao,particular, criança estudava numa escola , particular <R> , <R> minha mãe me 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,v,tonica,medial,substantivo,0.08,conversacao,árvores, tinha macaco pulando nas , árvores <R> , e não tinha ônibus 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, ? S1: não na , Oscar <R> , Freire era um pouquinho 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,3,s,tonica,medial,verbo,0.3,conversacao,conversa, <A> com ele... ele , conversa <T> , comigo ele fala não 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,e,d,atona,medial,verbo,0.05,conversacao,perdendo, bem que (vo)cê vai , perdendo <T> , que eu deixei de 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,0,n,tonica,final,adjetivo,0.93,conversacao,melhor, (es)tá não vejo ninguém , melhor <R> , nem pior <R> do 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, D1: uhm S1: na , parte <R> , da manhã... e à 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,v,tonica,medial,substantivo,0.08,conversacao,árvores, S1: era então essas , árvores <T> , que (es)tão aí foi 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,p,tonica,final,substantivo,1.94,conversacao,lugar, ‘não ah tem outro , lugar <R> , pra ir <A> não 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, seleção? S1: nem tanto , porque... <T> , era mesmo os pais 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, boutiques? S1: lá na , Oscar <R> , Freire? foi nessa época 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,0,n,tonica,medial,verbo,0.01,conversacao,torna, os defeito aí você , torna <R> , a costurar <A> depois 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,v,tonica,medial,substantivo,0.08,conversacao,árvores, de barro e as , árvores <T> , tudo assim tinha macaco 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,m,tonica,final,substantivo,1.94,conversacao,lugar, o Brasil mas o , lugar <R> , mais lindo que eu 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,n,tonica,final,adjetivo,0.52,conversacao,particular, ela tinha médico particular , <R> <T> , né... aí chamei o 
retroflexo,CicaN,feminino,67,3a,fundamental,central,2.5,mista,a,f,tonica,final,substantivo,0.07,conversacao,Oscar, ai meu Deus aquela , Oscar <R> , Freire... domingo mesmo o 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,o,t,atona,medial,verbo,0.05,conversacao,cortar, depois você tem que , cortar <T> , [A] a peça depois 
tepe,CicaN,feminino,67,3a,fundamental,central,2.5,mista,o,t,atona,medial,substantivo,0.01,conversacao,sorteio, construção tal aí foi , sorteio <T> , aí nós viemos pra 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,ts,atona,medial,substantivo,0.04,conversacao,Bertioga, que ali na Vila , Bertioga <T> , era mato a gente 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,o,t,atona,medial,substantivo,0.05,conversacao,Horto, mercado <T> vai no , Horto <T> , D1: hum... a feira 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,t,atona,medial,substantivo,0.44,conversacao,apartamento, campo/ onde tem aqueles , apartamento <T> , que vai até a 
retroflexo,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,i,m,atona,medial,substantivo,1.06,conversacao,irmão, era casado com o , irmão <R> , do meu cunhado D1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,ts,atona,medial,substantivo,0.02,conversacao,quartinho, quintal? S1: tem o , quartinho <T> , ... e no quartinho 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,#,tonica,final,morf.inf,0.01,conversacao,passear, nós vamos só pra , passear <T> , D1: a família toda 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,s,tonica,medial,substantivo,0.05,conversacao,terça, tem tudo tem de , terça <T> , -feira aí na Fernando 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,0,t,tonica,medial,substantivo,0.35,conversacao,porta, e eu deixava a , porta <T> , aberta <T> aqui... aí 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,o,z,tonica,medial,adjetivo,0.2,conversacao,quatorze, quer <A> ver? <A> , catorze <T> , ... quinze dezesseis dezessete 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,3,t,tonica,medial,adjetivo,2.6,conversacao,perto, pode ficar <A> muito , perto <T> , dele D1: ah é? 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,g,atona,medial,substantivo,0.01,conversacao,Alfargata, uhum S1: a da , Alfargata <T> , ali? D1: tá S1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,i,m,atona,medial,substantivo,2.09,conversacao,irmã, só ela S1: minha , irmã <T> , tem um filho que 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,ts,atona,medial,substantivo,0.04,conversacao,Bertioga, Mooca... depois da Vila , Bertioga <T> , vim pra cá D1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,t,atona,medial,verbo,0.02,conversacao,pertence, Vila Bertioga... <T> é... , pertence <T> , à Mooca... depois da 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, meu pai quanto da , parte <T> , da minha mãe D1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,o,#,tonica,final,substantivo,0.03,conversacao,pastor, e ainda tinha um , pastor... <T> , isso eu lembro... tinha 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,g,atona,medial,verbo,0.04,conversacao,perguntou, S1: até que ela , perguntou <T> , que que ele tinha 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,0,m,tonica,medial,conj.prep,0.07,conversacao,conforme, ficou aqui no começo , conforme <T> , pegava uma vassoura ela 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,#,tonica,final,morf.inf,0.02,conversacao,tear, ano fui aprendendo os , tear <T> , D1: hum S1: aí 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,0,t,tonica,medial,substantivo,0.35,conversacao,porta, até ca/ com a , porta <T> , aberta <T> D1: nossa 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,0,t,tonica,medial,substantivo,0.35,conversacao,porta, por <T> / a , porta <T> , do quartinho <T> que... 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,3,#,tonica,final,substantivo,0.42,conversacao,mulher, três... era parente da , mulher... <T> , quatro era parente... e 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,i,m,atona,medial,substantivo,2.09,conversacao,irmã, ele chegou na minha , irmã <T> , ... pra ir <A> 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,3,n,tonica,medial,substantivo,0.07,conversacao,perna, que... (es)tá tudo de , perna <T> , pro ar <T> D1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, (xxx) S1: tanto da , parte <T> , de meu pai quanto 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,ts,atona,medial,substantivo,0.04,conversacao,Bertioga, montei/ mudei pra... Vila , Bertioga... <T> , é... pertence <T> à 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,ts,atona,medial,substantivo,0.02,conversacao,quartinho, uma homem dentro do , quartinho <T> , roubando D1: nossa S1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,#,tonica,final,morf.inf,0.01,conversacao,continuar, largou <V> não quis , continuar <T> , D1: hum S1: depois 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,v,tonica,medial,substantivo,0.1,conversacao,árvore, uhum S1: mas tinha , árvore <T> , mas tinha dono né? 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,n,tonica,final,substantivo,1.94,conversacao,lugar, Jordão <T> ... bastante , lugar <T> , nós fomos passear D1: 
retroflexo,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,3,t,tonica,medial,adjetivo,2.6,conversacao,perto, tem três feira aqui , perto <R> , D1: nossa pertinho ... 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,j,atona,medial,substantivo,0.02,conversacao,emergência, ser <A> quando tem , emergência <T> , ... do contrário D1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,t,tonica,medial,substantivo,0.03,conversacao,carta, S1: ele tem a , carta <T> , D1: tem a carta 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,k,atona,medial,substantivo,0.2,conversacao,mercado, passear <A> lá no , mercado <T> , vai no Horto <T> 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,3,t,tonica,medial,adjetivo,0.13,conversacao,aberta, deixava a porta <T> , aberta <T> , aqui... aí (xxx) na 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,0,ts,atona,medial,substantivo,0.01,conversacao,portinha, e eu fechava a , portinha <T> , aí (xxx)... quando eu 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,o,p,tonica,medial,substantivo,0.02,conversacao,corpo, os três com o , corpo <T> , de fora fazendo assim 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,dz,atona,medial,substantivo,0.83,conversacao,jardim, entra que tem o , jardim <T> , ... logo depois do 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,i,m,atona,medial,substantivo,2.09,conversacao,irmã, S1: a a minha , irmã <T> , acho que lembra disso 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,u,n,atona,medial,conj.prep,3.25,conversacao,por, (parece) que ficava orando , por <T> , nós D1: [risos] S1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,o,m,atona,medial,verbo,0.12,conversacao,dormir, cá aconteceu de eu , dormir <T> , <A> até ca/ com 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,#,tonica,final,substantivo,0.02,conversacao,tear, vinha e ia pro , tear... <T> , depois quando (es)tava com 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,ts,tonica,medial,substantivo,1.34,conversacao,parte, mãe? S1: das duas , parte <T> , D1: hum... (xxx) S1: 
retroflexo,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,n,atona,medial,substantivo,0.07,conversacao,Fernando, <T> -feira aí na , Fernando <R> , Falcão D1: Uhum S1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,t,atona,medial,substantivo,0.25,conversacao,carteira, cinco anos dirigindo? S1: , carteira <T> , dele tem mais de 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,e,ts,atona,medial,substantivo,0.04,conversacao,Bertioga, S1: lá na Vila , Bertioga <T> , ... depois ela veio 
retroflexo,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,#,tonica,final,substantivo,1.94,conversacao,lugar, pra um monte de , lugar... <R> , tudo a tem fotografia 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,u,k,atona,medial,conj.prep,5.98,conversacao,porque, é S1: cemitério tinha , porque <T> , meus avós foram mo/... 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,a,z,atona,medial,substantivo,0.08,conversacao,barzinho, (vo)cê viu? tem um , barzinho <T> , D1: um bar S1: 
tepe,CarmenC,feminino,72,3a,fundamental,central,2.2,SPcapital,i,m,atona,medial,substantivo,2.09,conversacao,irmã, ... foi a minha , irmã <T> , meu cunhado meu sobrinho 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,0,n,tonica,medial,substantivo,0.05,conversacao,Califórnia, primeira vez... foi na , Califórnia <R> , D1: (olha!) S1: eu 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,a,s,atona,medial,substantivo,0.02,conversacao,garçom, {vai num restaurante} o , garçom <R> , diz não o freguês 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,o,n,tonica,final,substantivo,0.18,conversacao,senhor, ele “olha se o , senhor <R> , não (es)tá satisfeito (por 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,e,s,atona,medial,adjetivo,0.04,conversacao,comerciais, legal) S1: pra fins , comerciais <T> , só o salão da 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, participo <R> desse grupo... , porque <T> , com esse grupo eu 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,a,#,tonica,final,substantivo,0.04,conversacao,vestibular, você prestar <A> o , vestibular <T> , D1: uhum S1: se 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,a,m,tonica,final,substantivo,1.94,conversacao,lugar, sede que era... um , lugar <R> , melhor... <R> mas enquanto 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,0,n,tonica,medial,substantivo,0.05,conversacao,Califórnia, D1: uhum S1: na , Califórnia <T> , ... agora... essa semana 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, chamados né?... entre aspas... , porque <T> , [hes.] eu me sentia 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, comecei [risos] S1: [risos] , porque? <T> , mais espera aí lá 
retroflexo,DercyF,feminino,72,3a,superior,periferica,3.4,mista,e,n,tonica,medial,substantivo,0.9,conversacao,governo, pensa que é do , governo <R> , mas não é mantida 
tepe,DercyF,feminino,72,3a,superior,periferica,3.4,mista,u,k,atona,medial,conj.prep,5.98,conversacao,porque, do caminhão... eu ia , porque <T> , era pra mim eu 
